,move_number,black_pawn_islands,white_pawn_islands,black_single_pawns,white_single_pawns,white_pieces_moved_upto_now,black_pieces_moved_upto_now,white_can_castle,black_can_castle,white_has_castled,black_has_castled,white_king_mobility_top3,black_king_mobility_top3,current_player_in_check,is_checkmate,is_stalemate,is_insufficient_material,piece_moved
0,1-w,1,1,0,2,1,0,True,True,False,False,1,0,False,False,False,False,1
0,1-b,1,1,2,2,1,1,True,True,False,False,1,1,False,False,False,False,1
0,2-w,1,1,2,2,1,1,True,True,False,False,2,1,False,False,False,False,1
0,2-b,1,1,4,2,1,1,True,True,False,False,2,1,False,False,False,False,1
0,3-w,1,1,4,3,1,1,True,True,False,False,2,1,False,False,False,False,1
0,3-b,1,1,4,3,1,2,True,True,False,False,2,1,False,False,False,False,3
0,4-w,1,1,4,3,2,2,True,True,False,False,2,1,False,False,False,False,2
0,4-b,1,1,4,3,2,3,True,True,False,False,2,1,False,False,False,False,2
0,5-w,1,1,4,3,3,3,True,True,False,False,2,1,False,False,False,False,3
0,5-b,1,1,6,3,3,3,True,True,False,False,2,1,False,False,False,False,1
0,6-w,1,1,6,3,3,3,True,True,False,False,1,1,False,False,False,False,3
0,6-b,1,1,6,3,3,4,True,True,False,False,1,1,False,False,False,False,5
0,7-w,1,1,6,3,3,4,True,True,False,False,2,1,False,False,False,False,3
0,7-b,1,1,6,3,3,4,True,True,False,False,2,1,False,False,False,False,1
0,8-w,1,1,6,3,3,4,True,True,False,False,2,1,False,False,False,False,2
0,8-b,1,1,6,3,3,4,True,True,False,False,2,1,False,False,False,False,5
0,9-w,1,1,6,3,3,4,True,True,False,False,2,1,False,False,False,False,2
0,9-b,1,1,6,3,3,4,True,True,False,False,2,1,False,False,False,False,5
0,10-w,1,1,5,3,3,4,True,True,False,False,2,1,False,False,False,False,3
0,10-b,1,1,5,3,3,4,True,True,False,False,2,1,False,False,False,False,5
0,11-w,1,1,5,3,4,4,True,True,False,False,2,1,False,False,False,False,5
0,11-b,1,1,5,3,4,5,True,False,False,False,2,1,False,False,False,False,6
0,12-w,1,1,4,3,4,5,True,False,False,False,2,1,False,False,False,False,5
0,12-b,1,1,4,3,4,5,True,False,False,False,2,1,False,False,False,False,2
0,13-w,1,1,4,3,4,5,True,False,False,False,2,1,False,True,False,False,5
